Name	Type	Platform	Location	Availability	Description
ISP	Graphics and sound	Win 3.1, WIN32, Motif, XView	ftp://www.remstar.com/pub/wxwin/contrib/isp-100/	Freeware	Image and sound player educational tool.
ClockWorks	Graphics and sound	Win 3.1, WIN32, Motif, XView	http://web.ukonline.co.uk/Members/julian.smart/freesoft.html#clockworks	Freeware	A configurable analogue clock, with a collection of 'fine art' faces. By Julian Smart.
M	Miscellaneous	Windows 95, Windows NT, Linux	http://www.phy.hw.ac.uk/~karsten/M/index.html	GPL	M is a cross-platform e-mail application. It will be available for X11/Unix and Windows platforms, supporting a wide range of e-mail transfer protocols as well as including full MIME support. M's wealth of features and ease of use make it one of the most powerful MUAs available, providing a consistent and intuitive interface across all platforms.
Boolean	Miscellaneous	Windows 95, Windows NT, Solaris	http://www.xs4all.nl/~kholwerd/bool.html	Freeware	A GDSII CAD file format viewer, and program to perform boolean operations on sets of 2D polygons. By Klaas Holwerda.
TimeMan	Miscellaneous	wxGTK, Unix	http://www.bgif.no/neureka/TimeMan/	Freeware	A time manager, written using wxGTK
Forty Thieves	Miscellaneous	Motif, Windows	apps/forty/forty.htm	Freeware	A fiendish patience game, by Chris Breeze. A nice demo of what's possible with wxWindows.
Lean Integration Platform	Miscellaneous	Windows NT, various flavours of UNIX	http://www.c-lab.de/~lipuser/lip	To be decided	LIP is a workflow-oriented tool integration system which uses wxLisp (and thus wxWindows) as an implementation basis. Lisp combined with the wxWindows bindings make up the compatible extension language platform of the system.
wxWeb	Miscellaneous	Win 3.1, WIN32, Motif	ftp://www.remstar.com/pub/wxwin/contrib/wxweb	Freeware	Andrew Davison's Web browser, with SimSock portable socket library and wxHtml canvas. Includes an http server for UNIX and Windows.
SANTIS	Miscellaneous	Win 3.1, Windows 95, Linux, Solaris OpenLook and Motif, Silicon Graphics	http://www.physiology.rwth-aachen.de/bs/santis/	Free for non-commercial use	SANTIS is a software tool designed for the analysis of signals and time series data of any kind, in particular for scientific purposes. It was developed at the Laboratory of Biomedical Systems Analysis, Institute of Physiology at the University of Aachen, Germany.
Xbaies	Miscellaneous	Win 3.1, WIN32, Motif, XView	xbaies.htm	Freeware	A shell for building Bayesian network models, by Robert Cowell.
wxTinyBB	Miscellaneous	Win 3.1, WIN32, Motif, XView	ftp://www.remstar.com/pub/wxwin/contrib/wxtinybb	Freeware/commercial	A tiny blackboard shell demo showing an embedded (commercial) Prolog engine. Demo written by Arvindra Sehmi. A good example of a nice interface using wxWindows.
Gambit	Miscellaneous	Win 3.1, WIN32, Motif, XView	http://www.hss.caltech.edu/~gambit/Gambit.html	Freeware	A large wxWindows application with source, and features such as a table control with printing.
Tex2RTF	Miscellaneous	Win 3.1, WIN32, Motif, XView	http://web.ukonline.co.uk/julian.smart/tex2rtf	Freeware	Converts subset of LaTeX syntax to WinHelp, wordprocessor RTF, HTML, and wxHelp. As used for wxWindows documentation.
wxPoem	Miscellaneous	Win 3.1, WIN32, Motif, XView	none.htm	Freeware	A poetry display program for wxWindows. Included as a sample in the wxWindows distribution.
Sonar tracking software	Miscellaneous	See Web site	http://www.desertstar.com	Demonstration	Miscellaneous sonar tracking software from Desert Star Systems, who use wxWindows for all their Windows-based software.
Name	Research software	Platform	Location	Availability	Description
DisCo	Research software	N/A	http://www.cs.tut.fi/laitos/DisCo/tool.fm.html	N/A	A tool for specification of reactive systems.
CAFE	Research software	N/A	cafe.htm	N/A	Cellular Analysis of Fire and Extinction
CODA	Research software	See Web site	http://www.ozemail.com.au/~mbedward/coda/coda.html	See Web site	CODA assists in the design of networks of nature reserves or protected areas. It has been used for major reserve planning studies, as a teaching resource and for research into conservation planning methods.
EGRESS	Research software	N/A	http://www.aiai.ed.ac.uk/~jimd/Egress2/projInfo_contents.html	N/A	An evacuation decision model.
ACT	Research software	N/A	none.htm	N/A	A general process and tracker and automator being built at NASA.
Rectangular nesting program	Research software	N/A	http://www.elec-eng.leeds.ac.uk/een5mpd/research.html	N/A	Optimized layout of rectangles on a page.
Finite element post processor	Research software	N/A	http://www.ime.auc.dk/afd3/odessy/manuals/index.htm	N/A	Finite element postprocessor, produced at Aalborg University in Denmark by John Rasmussen and Erik Lund.
